报道时间,Place.State,城市,Infected.Inc,新增出院,新增死亡
2月2日,Korea,Korea,3,0,0
2月3日,Korea,Korea,0,0,0
2月4日,Korea,Korea,1,0,0
2月5日,Korea,Korea,2,0,0
2月6日,Korea,Korea,5,0,0
2月7日,Korea,Korea,1,0,0
2月8日,Korea,Korea,0,2,0
2月9日,Korea,Korea,1,1,0
2月10日,Korea,Korea,2,0,0
2月11日,Korea,Korea,1,1,0
2月12日,Korea,Korea,0,0,0
2月13日,Korea,Korea,0,3,0
2月14日,Korea,Korea,0,0,0
2月15日,Korea,Korea,0,2,0
2月16日,Korea,Korea,1,0,0
2月17日,Korea,Korea,1,0,0
2月18日,Korea,Korea,1,1,0
2月19日,Korea,Korea,15,2,0
2月20日,Korea,Korea,36,4,1
2月21日,Korea,Korea,74,0,0
2月22日,Korea,Korea,190,1,1
2月23日,Korea,Korea,210,1,2
2月24日,Korea,Korea,207,0,3
2月25日,Korea,Korea,130,4,1
2月26日,Korea,Korea,253,0,3
2月27日,Korea,Korea,449,2,1
2月28日,Korea,Korea,427,2,1
2月29日,Korea,Korea,909,1,3
3月1日,Korea,Korea,595,3,1
3月2日,Korea,Korea,686,1,5
3月3日,Korea,Korea,600,3,6
3月4日,Korea,Korea,516,7,4
3月5日,Korea,Korea,438,47,3
3月6日,Korea,Korea,518,20,7
3月7日,Korea,Korea,483,10,2
3月8日,Korea,Korea,367,12,6
3月9日,Korea,Korea,248,36,1
3月10日,Korea,Korea,131,81,3
3月11日,Korea,Korea,242,41,6
3月12日,Korea,Korea,114,45,6
3月13日,Korea,Korea,110,177,1
3月14日,Korea,Korea,107,204,5
3月15日,Korea,Korea,76,120,3
3月16日,Korea,Korea,74,303,0
3月17日,Korea,Korea,84,264,6
3月18日,Korea,Korea,93,139,3
3月19日,Korea,Korea,152,407,7
3月20日,Korea,Korea,87,286,3
3月21日,Korea,Korea,147,379,8
3月22日,Korea,Korea,98,297,2
3月23日,Korea,Korea,64,257,7
3月24日,Korea,Korea,76,341,9
3月25日,Korea,Korea,100,223,6
3月26日,Korea,Korea,104,414,5
3月27日,Korea,Korea,91,384,8
3月28日,Korea,Korea,146,283,5
3月29日,Korea,Korea,105,222,8
3月30日,Korea,Korea,78,195,6
3月31日,Korea,Korea,125,180,4
4月1日,Korea,Korea,101,159,3
4月2日,Korea,Korea,89,261,4
4月3日,Korea,Korea,86,193,5
4月4日,Korea,Korea,94,304,3
4月5日,Korea,Korea,81,138,6
4月6日,Korea,Korea,47,135,3
4月7日,Korea,Korea,47,96,6
4月8日,Korea,Korea,53,82,8
4月9日,Korea,Korea,39,197,4
4月10日,Korea,Korea,27,144,4
4月11日,Korea,Korea,30,126,3
4月12日,Korea,Korea,32,125,3
4月13日,Korea,Korea,25,79,3
4月14日,Korea,Korea,27,87,5
4月15日,Korea,Korea,27,82,3
4月16日,Korea,Korea,22,141,4
4月17日,Korea,Korea,22,72,1
4月18日,Korea,Korea,18,108,2
4月19日,Korea,Korea,8,105,2
4月20日,Korea,Korea,13,72,2
4月21日,Korea,Korea,9,99,1
4月22日,Korea,Korea,11,64,1
4月23日,Korea,Korea,8,134,2
4月24日,Korea,Korea,6,90,0
4月25日,Korea,Korea,10,134,0
4月26日,Korea,Korea,10,82,2
4月27日,Korea,Korea,10,47,1
4月28日,Korea,Korea,14,90,1
4月29日,Korea,Korea,9,68,2
4月30日,Korea,Korea,4,137,1
5月1日,Korea,Korea,9,13,1
5月2日,Korea,Korea,6,51,2
5月3日,Korea,Korea,13,60,0
5月4日,Korea,Korea,8,34,2
5月5日,Korea,Korea,3,66,2
5月6日,Korea,Korea,2,50,1
5月7日,Korea,Korea,4,86,1
5月8日,Korea,Korea,12,65,0
5月9日,Korea,Korea,18,84,0
5月10日,Korea,Korea,34,42,0
5月11日,Korea,Korea,35,22,0
5月12日,Korea,Korea,27,38,2
5月13日,Korea,Korea,26,25,1
5月14日,Korea,Korea,29,67,1
5月15日,Korea,Korea,27,59,0
5月16日,Korea,Korea,19,30,2
5月17日,Korea,Korea,13,37,0
5月18日,Korea,Korea,15,16,1
5月19日,Korea,Korea,13,34,0
5月20日,Korea,Korea,32,128,0
5月21日,Korea,Korea,12,69,1
5月22日,Korea,Korea,20,27,0
5月23日,Korea,Korea,23,32,2
5月24日,Korea,Korea,25,19,0
5月25日,Korea,Korea,16,13,1
5月26日,Korea,Korea,19,49,2
5月27日,Korea,Korea,40,20,0
5月28日,Korea,Korea,79,45,0
5月29日,Korea,Korea,58,23,0
5月30日,Korea,Korea,39,35,0
5月31日,Korea,Korea,27,7,1
